what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.hibernate.jpt.core,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate.jpt.core",1337849030881
stopped,bundle,org.jboss.tools.hibernate.ui,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate.ui",1337849030881
stopped,bundle,org.jboss.tools.hibernate3_5,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate3_5",1337849030881
stopped,bundle,org.jboss.tools.hibernate3_6,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate3_6",1337849030882
stopped,bundle,org.jboss.tools.hibernate4_0,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate4_0",1337849030882
stopped,bundle,org.hibernate.eclipse.console,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.console",1337849030882
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.ui.mbeans",1337849030883
stopped,bundle,org.jboss.ide.eclipse.as.classpath.ui,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.classpath.ui",1337849030883
stopped,bundle,org.jboss.tools.portlet.ui,1.2.0.v20120302-2132-H56-Beta1,"org.jboss.tools.portlet.ui",1337849030883
stopped,bundle,org.jboss.tools.portlet.core,1.2.0.v20120302-2132-H56-Beta1,"org.jboss.tools.portlet.core",1337849030883
stopped,bundle,org.jboss.tools.ws.creation.ui,1.2.2.v20120323-1522-H83-Beta2,"org.jboss.tools.ws.creation.ui",1337849030884
stopped,bundle,org.jboss.tools.ws.ui,1.2.2.v20120323-1522-H83-Beta2,"org.jboss.tools.ws.ui",1337849030884
stopped,bundle,org.jboss.tools.ws.creation.core,1.2.2.v20120323-1522-H83-Beta2,"org.jboss.tools.ws.creation.core",1337849030884
stopped,bundle,org.jboss.tools.ws.core,1.2.2.v20120323-1522-H83-Beta2,"org.jboss.tools.ws.core",1337849030884
stopped,bundle,org.jboss.ide.eclipse.as.classpath.core,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.classpath.core",1337849030885
stopped,bundle,org.jboss.ide.eclipse.as.rse.ui,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.rse.ui",1337849030885
stopped,bundle,org.jboss.ide.eclipse.as.rse.core,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.rse.core",1337849030886
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.archives.webtools",1337849030886
stopped,bundle,org.jboss.ide.eclipse.as.wtp.ui,2.3.0.v20120321-1339-H91-Beta2,"org.jboss.ide.eclipse.as.wtp.ui",1337849030886
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1337849030887
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.2.v201103292152,"org.eclipse.jst.jsf.facesconfig.ui",1337849030887
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1337849030888
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1337849030888
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1337849030888
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1337849030889
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1337849030890
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1337849030891
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1337849030891
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1337849030891
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1337849030892
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1337849030892
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1337849030893
stopped,bundle,org.jboss.tools.cdi.seam.config.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.config.core",1337849030893
stopped,bundle,org.jboss.tools.cdi.seam.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.core",1337849030893
stopped,bundle,org.jboss.tools.cdi.seam.faces.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.faces.core",1337849030894
stopped,bundle,org.jboss.tools.cdi.seam.solder.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.solder.core",1337849030894
stopped,bundle,org.jboss.tools.cdi.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.core",1337849030894
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext.richfaces",1337849030895
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext.facelets",1337849030895
stopped,bundle,org.jboss.tools.jsf.text.ext,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext",1337849030895
stopped,bundle,org.jboss.tools.jsf.verification,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.verification",1337849030895
stopped,bundle,org.jboss.tools.jsf,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf",1337849030896
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.ui.palette",1337849030896
stopped,bundle,org.jboss.tools.jst.jsp,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.jsp",1337849030896
stopped,bundle,org.jboss.tools.jst.text.ext,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.text.ext",1337849030897
stopped,bundle,org.jboss.tools.jst.web.kb,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.web.kb",1337849030897
stopped,bundle,org.jboss.tools.common.el.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.el.ui",1337849030897
stopped,bundle,org.jboss.tools.vpe.resref,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.resref",1337849030898
stopped,bundle,org.jboss.tools.common.resref.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.resref.ui",1337849030898
stopped,bundle,org.jboss.tools.common.verification.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.verification.ui",1337849030898
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20120307-2104-H60-Beta1,"org.jboss.tools.hibernate.xml.ui",1337849030898
stopped,bundle,org.jboss.tools.common.model.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.model.ui",1337849030899
stopped,bundle,org.jboss.tools.common.text.ext,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.text.ext",1337849030899
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1337849030900
stopped,bundle,org.jboss.tools.common.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.ui",1337849030900
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1337849030901
stopped,bundle,org.hibernate.eclipse.help,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.help",1337849030901
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1337849030901
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1337849030902
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1337849030902
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1337849030902
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1337849030903
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1337849030903
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1337849030903
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1337849030903
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1337849030903
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1337849030904
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1337849030904
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1337849030904
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1337849030905
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1337849030905
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1337849030905
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1337849030906
